title,image
AWS monitoring,https://www.metabase.com/images/dashboards/aws-monitoring/Dashboard.png
Big Query,https://www.metabase.com/images/dashboards/Dashboard-Databases.png
Content Marketing,https://www.metabase.com/images/dashboards/content/Dashboard.png
Digital Marketing,https://www.metabase.com/images/dashboards/digital/Dashboard.png
Email Marketing,https://www.metabase.com/images/dashboards/email/Dashboard.png
Engineering Teams,https://www.metabase.com/images/dashboards/engineering-team/Dashboard.png
Dashboards,https://www.metabase.com/images/product/watch-video.png
Marketing Teams,https://www.metabase.com/images/dashboards/marketing-teams/Dashboard.png
MySQL,https://www.metabase.com/images/dashboards/Dashboard-Databases.png
PostgreSQL monitoring,https://www.metabase.com/images/dashboards/postgresql/Dashboard.png
Sales activity,https://www.metabase.com/images/dashboards/sales-activity/Dashboard.png
Sales forecasting,https://www.metabase.com/images/dashboards/sales-forecasting/Dashboard.png
Sales pipelines,https://www.metabase.com/images/dashboards/sales-pipelines/Dashboard.png
Sales Teams,https://www.metabase.com/images/dashboards/sales-team/Dashboard.png
Server monitoring,https://www.metabase.com/images/dashboards/server-monitoring/Dashboard.png
Snowflake,https://www.metabase.com/images/dashboards/Dashboard-Databases.png
